Average_EAR,Drowsiness
0.1512688359337792,1
0.14171856544999517,1
0.1415734754494321,1
0.14995438469050024,1
0.18866528051853834,1
0.19022270900896987,1
0.12877622850026615,1
0.18455585653859344,1
0.19103339863367919,1
0.15894638861680813,1
0.15628722042741017,1
0.22549149408896113,1
0.1970294347054771,1
0.16511245119948031,1
0.12448172262164484,1
0.15853762633477797,1
0.13714358274146304,1
0.14454181161146995,1
0.14159111447170525,1
0.15430303401356898,1
0.1208590935829961,1
0.12728317279197862,1
0.14121117873377248,1
0.12651691745169574,1
0.1646871475780667,1
0.12934772333324612,1
0.16656178743117495,1
0.12903142102902287,1
0.1571406506792741,1
0.14627358684888148,1
0.14993719530221566,1
0.16939068395960988,1
0.1548698509828395,1
0.14410825392552795,1
0.17602464227735465,1
0.1357189915082616,1
0.13946218725982124,1
0.1691439616346337,1
0.1355446458808651,1
0.14609302672989555,1
0.14783484863044677,1
0.18437211156524802,1
0.1726615960648448,1
0.16158918655230536,1
0.1436183377661137,1
0.12985222593265147,1
0.12244004696513375,1
0.16918595912027132,1
0.130822738048522,1
0.17626114557068567,1
0.15885206360801668,1
0.15074476675996157,1
0.1267449501100359,1
0.117896032505543,1
0.11166582168593772,1
0.11755838046467627,1
0.10867420152953594,1
0.10078173813506827,1
0.10081279138126446,1
0.09674681992245562,1
0.14997576207982002,1
0.12163432883763974,1
0.1436363300517714,1
0.13233403643395017,1
0.12363613512676602,1
0.1237771046784325,1
0.12773843819527822,1
0.1314182517483026,1
0.13066920650377478,1
0.11582287476107136,1
0.15626212150944893,1
0.11348501688843243,1
0.14080901812391894,1
0.1141785285488448,1
0.19170540060931524,1
0.19041527775385828,1
0.18501734893107247,1
0.1806097703752954,1
0.18545885559666603,1
0.20007308821827957,1
0.14586453436010485,1
0.17207115808942025,1
0.15583268269747652,1
0.1494065562083806,1
0.12566754087738716,1
0.1179271442533247,1
0.12550279527217617,1
0.1722338007395119,1
0.15439586479833006,1
0.12153554747505363,1
0.10613176713807192,1
0.14364401942360933,1
0.12155446786132534,1
0.1657440907210759,1
0.11605909338068253,1
0.13491981257271768,1
0.1261918081755291,1
0.1404014029455306,1
0.15100414316491734,1
0.1566638219897779,1
0.1517085408208506,1
0.14801740027236376,1
0.17906962156391912,1
0.16791274128345018,1
0.12979618334497714,1
0.1444775973487809,1
0.14206074346649078,1
0.12039651134090817,1
0.16761176774399636,1
0.13374996968513214,1
0.13757115529036235,1
0.1332688141781561,1
0.17407818938189548,1
0.16679694595206945,1
0.15603468831873274,1
0.15539714451488065,1
0.13709803053056016,1
0.11617545170593666,1
0.15006188119446362,1
0.1445736621560811,1
0.11731213270462745,1
0.13763399800671583,1
0.16267934510198612,1
